"anglePer","blockN","colorPer","correct","highDim","highDimCoh","irrDim","irrDimCoh","lineCoh","lineDir","angleOption","lowDim","lowDimCoh","response","rxtime","subj","isHighCorrect","isLowCorrect","lineOption",
0.7,1,0.42,0,1,2,2,1,0.7,2,1,3,2,4,6.5813,1,1,0,2,
0.3,1,0.42,0,1,2,2,1,0.7,2,2,3,2,3,6.5813,1,1,0,2,
0.7,1,0.58,1,1,1,3,2,0.4,1,1,2,1,1,3.3824,1,1,1,1,
0.3,1,0.42,1,1,1,2,1,0.6,2,2,3,2,4,2.9991,1,1,1,2,
0.58,1,0.3,1,1,2,3,1,0.3,1,1,2,2,2,1.5499,1,1,1,1,
0.7,1,0.58,1,1,1,3,2,0.4,1,1,2,1,1,2.316,1,1,1,1,
0.3,1,0.58,0,1,1,2,1,0.6,2,2,3,2,1,3.9989,1,0,1,2,
0.58,1,0.58,1,1,2,2,1,0.7,2,1,3,1,3,2.6325,1,1,1,2,
0.58,1,0.3,0,1,2,2,2,0.7,2,1,3,1,4,2.316,1,1,0,2,
0.3,1,0.58,0,1,1,2,1,0.6,2,2,3,2,1,2.8993,1,0,1,2,
0.3,1,0.3,1,1,1,2,2,0.6,2,2,3,2,4,2.2662,1,1,1,2,
0.3,1,0.58,1,1,1,3,2,0.4,1,2,2,1,1,1.5161,1,1,1,1,
0.7,1,0.3,1,1,2,2,2,0.7,2,1,3,2,3,2.3826,1,1,1,2,
0.3,1,0.58,1,1,1,3,2,0.4,1,2,2,1,1,0.98319,1,1,1,1,
0.42,1,0.58,0,1,2,2,1,0.7,2,2,3,1,3,1.9828,1,1,0,2,
0.58,1,0.58,1,1,2,3,1,0.3,1,1,2,1,1,0.98322,1,1,1,1,
0.7,1,0.7,1,1,2,3,2,0.3,1,1,2,2,1,0.75016,1,1,1,1,
0.7,1,0.3,1,1,1,2,2,0.6,2,1,3,2,3,1.6495,1,1,1,2,
0.42,1,0.58,0,1,2,2,1,0.7,2,2,3,1,1,1.133,1,0,1,2,
0.42,1,0.3,1,1,1,2,2,0.6,2,2,3,1,4,2.4159,1,1,1,2,
0.3,1,0.7,0,1,1,2,2,0.6,2,2,3,2,1,0.73317,1,0,1,2,
0.58,1,0.58,1,1,1,3,1,0.4,1,1,2,1,1,2.2827,1,1,1,1,
0.42,1,0.58,1,1,2,3,1,0.3,1,2,2,1,1,0.84987,1,1,1,1,
0.7,1,0.3,0,1,1,3,2,0.4,1,1,2,2,3,1.6828,1,0,1,1,
0.58,1,0.7,1,1,2,3,1,0.3,1,1,2,2,1,1.5164,1,1,1,1,
0.58,1,0.7,1,1,1,2,2,0.6,2,1,3,1,3,2.666,1,1,1,2,
0.58,1,0.42,1,1,2,3,1,0.3,1,1,2,1,2,1.8162,1,1,1,1,
0.42,1,0.42,0,1,2,3,1,0.3,1,2,2,1,4,1.5664,1,0,1,1,
0.3,1,0.3,1,1,1,2,2,0.6,2,2,3,2,4,1.9994,1,1,1,2,
0.58,1,0.58,0,1,2,3,1,0.3,1,1,2,1,3,2.6158,1,0,1,1,
0.42,1,0.58,1,1,1,2,1,0.6,2,2,3,1,4,2.5159,1,1,1,2,
0.42,1,0.42,0,1,2,2,1,0.7,2,2,3,1,3,1.7827,1,1,0,2,
0.3,1,0.7,1,1,2,3,2,0.3,1,2,2,2,1,0.93308,1,1,1,1,
0.3,1,0.58,0,1,2,2,1,0.7,2,2,3,2,3,3.0157,1,1,0,2,
0.7,1,0.42,1,1,2,2,1,0.7,2,1,3,2,3,1.6329,1,1,1,2,
0.3,1,0.42,1,1,1,3,2,0.4,1,2,2,1,2,1.233,1,1,1,1,
0.7,1,0.42,1,1,2,3,2,0.3,1,1,2,1,2,1.533,1,1,1,1,
0.3,1,0.3,1,1,2,2,2,0.7,2,2,3,2,4,1.7494,1,1,1,2,
0.58,1,0.7,1,1,2,3,1,0.3,1,1,2,2,1,0.83314,1,1,1,1,
0.58,1,0.3,1,1,2,3,1,0.3,1,1,2,2,2,0.9831,1,1,1,1,
0.3,1,0.3,1,1,2,2,2,0.7,2,2,3,2,4,0.96673,1,1,1,2,
0.7,1,0.3,1,1,2,3,2,0.3,1,1,2,2,2,1.0663,1,1,1,1,
0.7,1,0.58,1,1,2,2,1,0.7,2,1,3,2,3,0.96625,1,1,1,2,
0.42,1,0.42,1,1,2,3,1,0.3,1,2,2,1,2,1.7994,1,1,1,1,
0.3,1,0.7,0,1,1,3,2,0.4,1,2,2,2,4,1.2664,1,0,1,1,
0.7,1,0.3,0,1,1,3,2,0.4,1,1,2,2,1,1.6997,1,1,0,1,
0.58,1,0.58,0,1,1,3,1,0.4,1,1,2,1,3,1.9663,1,0,1,1,
0.42,1,0.42,0,1,1,3,1,0.4,1,2,2,1,3,2.4827,1,0,0,1,
0.3,1,0.42,1,1,2,2,1,0.7,2,2,3,2,4,1.8664,1,1,1,2,
0.7,1,0.58,1,1,2,2,1,0.7,2,1,3,2,3,1.2996,1,1,1,2,
0.7,1,0.42,0,1,1,3,2,0.4,1,1,2,1,3,1.4829,1,0,1,1,
0.3,1,0.58,1,1,2,3,2,0.3,1,2,2,1,1,2.366,1,1,1,1,
0.7,1,0.7,0,1,1,3,2,0.4,1,1,2,2,3,1.8495,1,0,1,1,
0.58,1,0.42,1,1,2,2,1,0.7,2,1,3,1,3,5.5152,1,1,1,2,
0.58,1,0.7,0,1,1,2,2,0.6,2,1,3,1,1,1.183,1,0,1,2,
0.42,1,0.3,0,1,2,2,2,0.7,2,2,3,1,3,1.1498,1,1,0,2,
0.7,1,0.58,1,1,1,2,1,0.6,2,1,3,2,3,1.4331,1,1,1,2,
0.7,1,0.42,1,1,2,3,2,0.3,1,1,2,1,2,1.4829,1,1,1,1,
0.42,1,0.42,1,1,1,2,1,0.6,2,2,3,1,4,2.3492,1,1,1,2,
0.58,1,0.7,1,1,2,2,2,0.7,2,1,3,1,3,2.766,1,1,1,2,
0.42,1,0.7,1,1,2,3,1,0.3,1,2,2,2,1,0.81642,1,1,1,1,
0.58,1,0.42,1,1,1,3,1,0.4,1,1,2,1,2,3.3657,1,1,1,1,
0.58,1,0.42,0,1,2,3,1,0.3,1,1,2,1,3,1.8,1,0,1,1,
