,anglePer,blockN,colorPer,correct,highDim,highDimCoh,irrDim,irrDimCoh,lineCoh,lineDir,angleOption,lowDim,lowDimCoh,response,rxtime,subj,isHighCorrect,isLowCorrect,lineOption,Unnamed: 19,rt,stim,subj_idx,cond,cond2
0,0.7,1,0.42,0,1,2,2,1,0.7,2,1,3,2,2,6.5813,1,1,0,2,,6.5813,13,0,212,22
1,0.3,1,0.42,0,1,2,2,1,0.7,2,2,3,2,2,6.5813,1,1,0,2,,6.5813,13,0,212,22
2,0.7,1,0.58,1,1,1,3,2,0.4,1,1,2,1,3,3.3824,1,1,1,1,,3.3824,12,0,121,11
3,0.3,1,0.42,1,1,1,2,1,0.6,2,2,3,2,3,2.9991,1,1,1,2,,2.9991,13,0,112,12
4,0.58,1,0.3,1,1,2,3,1,0.3,1,1,2,2,3,1.5499,1,1,1,1,,1.5499,12,0,212,22
5,0.7,1,0.58,1,1,1,3,2,0.4,1,1,2,1,3,2.316,1,1,1,1,,2.316,12,0,121,11
6,0.3,1,0.58,0,1,1,2,1,0.6,2,2,3,2,1,3.9989,1,0,1,2,,3.9989,13,0,112,12
7,0.58,1,0.58,1,1,2,2,1,0.7,2,1,3,1,3,2.6325,1,1,1,2,,2.6325,13,0,211,21
8,0.58,1,0.3,0,1,2,2,2,0.7,2,1,3,1,2,2.316,1,1,0,2,,2.316,13,0,221,21
9,0.3,1,0.58,0,1,1,2,1,0.6,2,2,3,2,1,2.8993,1,0,1,2,,2.8993,13,0,112,12
10,0.3,1,0.3,1,1,1,2,2,0.6,2,2,3,2,3,2.2662,1,1,1,2,,2.2662,13,0,122,12
11,0.3,1,0.58,1,1,1,3,2,0.4,1,2,2,1,3,1.5161,1,1,1,1,,1.5161,12,0,121,11
12,0.7,1,0.3,1,1,2,2,2,0.7,2,1,3,2,3,2.3826,1,1,1,2,,2.3826,13,0,222,22
13,0.3,1,0.58,1,1,1,3,2,0.4,1,2,2,1,3,0.98319,1,1,1,1,,0.98319,12,0,121,11
14,0.42,1,0.58,0,1,2,2,1,0.7,2,2,3,1,2,1.9828,1,1,0,2,,1.9828,13,0,211,21
15,0.58,1,0.58,1,1,2,3,1,0.3,1,1,2,1,3,0.9832200000000001,1,1,1,1,,0.9832200000000001,12,0,211,21
16,0.7,1,0.7,1,1,2,3,2,0.3,1,1,2,2,3,0.75016,1,1,1,1,,0.75016,12,0,222,22
17,0.7,1,0.3,1,1,1,2,2,0.6,2,1,3,2,3,1.6495,1,1,1,2,,1.6495,13,0,122,12
18,0.42,1,0.58,0,1,2,2,1,0.7,2,2,3,1,1,1.133,1,0,1,2,,1.133,13,0,211,21
19,0.42,1,0.3,1,1,1,2,2,0.6,2,2,3,1,3,2.4159,1,1,1,2,,2.4159,13,0,121,11
20,0.3,1,0.7,0,1,1,2,2,0.6,2,2,3,2,1,0.73317,1,0,1,2,,0.73317,13,0,122,12
21,0.58,1,0.58,1,1,1,3,1,0.4,1,1,2,1,3,2.2827,1,1,1,1,,2.2827,12,0,111,11
22,0.42,1,0.58,1,1,2,3,1,0.3,1,2,2,1,3,0.8498700000000001,1,1,1,1,,0.8498700000000001,12,0,211,21
23,0.7,1,0.3,0,1,1,3,2,0.4,1,1,2,2,1,1.6828,1,0,1,1,,1.6828,12,0,122,12
24,0.58,1,0.7,1,1,2,3,1,0.3,1,1,2,2,3,1.5164,1,1,1,1,,1.5164,12,0,212,22
25,0.58,1,0.7,1,1,1,2,2,0.6,2,1,3,1,3,2.6660000000000004,1,1,1,2,,2.6660000000000004,13,0,121,11
26,0.58,1,0.42,1,1,2,3,1,0.3,1,1,2,1,3,1.8162,1,1,1,1,,1.8162,12,0,211,21
27,0.42,1,0.42,0,1,2,3,1,0.3,1,2,2,1,1,1.5664,1,0,1,1,,1.5664,12,0,211,21
